Key,en,es,ar,fr
Setup KYC,Setup KYC,Configuración KYC,إعداد التحقق من الهوية (KYC),Configuration KYC
SETUP WEB CONTENT,Setup Web Content,CONFIGURACIÓN DE CONTENIDO WEB,إعداد محتوى الويب,CONFIGURATION DU CONTENU WEB
Setup Section,Setup Section,Configuración de sección,إعداد القسم,Configuration de la section
Banner Section,Banner Section,Sección de banner,قسم البانر,Section de la bannière
Banner Floting,Banner Floting,Banner flotante,قسم البانر العائم,Bannière flottante
About Section,About Section,Sección Acerca de nosotros,قسم حول,Section À propos de nous
Work Section,Work Section,Sección de trabajo,قسم العمل,Section de travail
Service Section,Service Section,Sección de servicio,قسم الخدمة,Section du service
FAQ Section,FAQ Section,Sección de preguntas frecuentes (FAQ),قسم الأسئلة الشائعة,Section FAQ
Blog Section,Blog Section,Sección de blog,قسم المدونة,Section du blog
Blog Category,Blog Category,Categoría de blog,فئة المدونة,Catégorie de blog
Contact Us Section,Contact Us Section,Sección de contacto,قسم اتصل بنا,Section Contactez-nous
Footer Section,Footer Section,Sección de pie de página,قسم الذيل (التذييل),Section Pied de page
Testimonials Section,Testimonials Section,Sección de testimonios,قسم شهادات العملاء,Section des témoignages
Setup Pages,Setup Pages,Configuración de páginas,إعداد الصفحات,Configuration des pages
Extensions,Extensions,Extensiones,الامتدادات,Extensions
PAYMENT METHODS,Payment Methods,MÉTODOS DE PAGO,طرق الدفع,MÉTHODES DE PAIEMENT
Add Money,Add Money,Añadir dinero,إضافة رصيد,Ajouter de l'argent
Automatic,Automatic,Automático,تلقائي,Automatique
Manual,Manual,Manual,يدوي,Manuel
NOTIFICATION-UPPER,Notification,NOTIFICACIÓN,إشعار,NOTIFICATION
Push Notification,Push Notification,Notificación push,إشعار الدفع,Notification Push
Setup Notification,Setup Notification,Configuración de notificación,إعداد الإشعار,Configuration de la notification
Send Notification,Send Notification,Enviar notificación,إرسال إشعار,Envoyer une notification
BONUS,Bonus,BONO,مكافأة,BONUS
GDPR Cookie,GDPR Cookie,GDPR Cookie,ملف تعريف الارتباط GDPR,Cookie GDPR
Server Info,Server Info,Información del servidor,معلومات الخادم,Informations sur le serveur
Clear Cache,Clear Cache,Borrar caché,مسح ذاكرة التخزين المؤقت,Effacer le cache
Layout mode,Layout mode,Modo de diseño,وضع التخطيط,Mode de mise en page
Topbar Color,Topbar Color,Color de la barra superior,لون الشريط العلوي,Couleur de la barre supérieure
Sidebar color,Sidebar color,Color de la barra lateral,لون الشريط الجانبي,Couleur de la barre latérale
Min Sidebar Color,Min Sidebar Color,Color mínimo de la barra lateral,الحد الأدنى للون في الشريط الجانبي,Couleur minimale de la barre latérale
RTL Support,RTL Support,Soporte RTL (derecha a izquierda),دعم الكتابة من اليمين إلى اليسار (RTL),Prise en charge RTL
Merchant Care,Merchant Care,Atención al comerciante,رعاية التاجر,Service du marchand
Active Merchants,Active Merchants,Comerciantes activos,التجار نشطون,Marchands actifs
Sms Unverified,Sms Unverified,SMS no verificados,الرسائل غير المتحققة,Sms non vérifié
All Merchants,All Merchants,Todos los comerciantes,جميع التجار,Tous les marchands
Email To Merchants,Email To Merchants,Correo electrónico a los comerciantes,البريد إلى التجار,Envoyer un e-mail aux marchands
Banned Merchants,Banned Merchants,Comerciantes prohibidos,التجار المحظورين,Marchands bannis
Recipient Countries,Recipient Countries,Países receptores,بلدان المستلمين,Pays du destinataire
Mobile Topup,Mobile Topup,Recarga de móviles,شحن الهاتف المحمول,Recharge mobile
Categories,Categories,Categorías,الفئات,Catégories
Virtual Card Api,Virtual Card Api,API de tarjeta virtual,API بطاقة افتراضية,API de cartes virtuelles
Setup Firebase,Setup Firebase,Configuración de Firebase,إعداد Firebase,Configuration de Firebase
Home,Home,Hogar,الصفحة الرئيسية,Accueil
About,About,Acerca de,حول,À propos
FAQ,FAQ,Preguntas,أسئلة شائعة,FAQ
Web Journal,Web Journal,Diario,يوميات الويب,Journal web
Merchant,Merchant,Comerciante,تاجر,Marchand
Service,Service,Servicio,خدمة,Service
Contact,Contact,Contacto,اتصال,Contact
Download App,Download App,Descargar la aplicación,تحميل التطبيق,Télécharger l'application
Dashboard,Dashboard,Panel de control,لوحة القيادة,Tableau de bord
Register,Register,Registrarse,تسجيل,S'inscrire
Login,Login,Iniciar sesión,تسجيل الدخول,Se connecter
Usefull Links,Usefull Links,Enlaces útiles,روابط مفيدة,Liens utiles
Newsletter,Newsletter,Boletín,النشرة الإخبارية,Bulletin d'information
Top,Top,Arriba,أعلى,Haut
Login Information,Login Information,Información de inicio de sesión,معلومات تسجيل الدخول,Informations de connexion
Please input your phone number and password and login to your account to get access to your dashboard.,Please input your phone number and password and login to your account to get access to your dashboard.,Ingrese su número de teléfono y contraseña e inicie sesión en su cuenta para acceder a su panel de control.,الرجاء إدخال رقم هاتفك وكلمة المرور وتسجيل الدخول إلى حسابك للوصول إلى لوحة التحكم الخاصة بك.,Veuillez entrer votre numéro de téléphone et votre mot de passe et vous connecter à votre compte pour accéder à votre tableau de bord.
Don't Have An Account?,Don't Have An Account?,¿No tiene una cuenta?,ليس لديك حساب؟,Vous n'avez pas de compte?
Register Information,Register Information,Información de registro,معلومات التسجيل,Informations d'inscription
Please input your details and register to your account to get access to your dashboard.,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para acceder a su panel de control.,الرجاء إدخال تفاصيلك والتسجيل في حسابك للوصول إلى لوحة التحكم الخاصة بك.,Veuillez entrer vos coordonnées et vous inscrire à votre compte pour accéder à votre tableau de bord.
Terms Of Use & Privacy Policy,Terms Of Use & Privacy Policy,Términos de uso y política de privacidad,شروط الاستخدام وسياسة الخصوصية,Conditions d'utilisation et politique de confidentialité
I have agreed with,I have agreed with,He acordado con,لقد وافقت على,J'ai accepté
Continue,Continue,Continuar,متابعة,Continuer
Login Now,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن,Se connecter maintenant
KYC Form,KYC Form,Formulario KYC (Conozca a su cliente),نموذج التحقق من الهوية (KYC),Formulaire KYC
Please input all the fild for login to your account to get access to your dashboard.,Please input all the fild for login to your account to get access to your dashboard.,"Por favor, ingrese todos los campos para iniciar sesión en su cuenta y acceder a su panel de control.",الرجاء إدخال جميع الحقول لتسجيل الدخول إلى حسابك للوصول إلى لوحة التحكم الخاصة بك.,Veuillez entrer tous les champs pour vous connecter à votre compte et accéder à votre tableau de bord.
Please input your mobile number and get verify code  for recovering your account.,Please input your mobile number and get verify code  for recovering your account.,"Por favor, ingrese su número de móvil y obtenga el código de verificación para recuperar su cuenta.",الرجاء إدخال رقم هاتفك المحمول واحصل على رمز التحقق بستة أرقام لاستعادة حسابك.,Veuillez entrer votre numéro de mobile et obtenir un code de vérification pour récupérer votre compte.
Register Now,Register Now,Registrarse ahora,سجل الآن,S'inscrire maintenant
Please enter the code,Please enter the code,"Por favor, ingrese el código",الرجاء إدخال الرمز,Veuillez saisir le code
We sent a 6 digit code here,We sent a 6 digit code here,Enviamos un código de 6 dígitos aquí,لقد أرسلنا رمزًا مكونًا من ستة أرقام هنا,Nous avons envoyé un code à 6 chiffres ici
You can resend the code after,You can resend the code after,Puede reenviar el código después de,يمكنك إعادة إرسال الرمز بعد ذلك,Vous pouvez renvoyer le code après
Please enter your authorization code to access dashboard,Please enter your authorization code to access dashboard,"Por favor, ingrese su código de autorización para acceder al panel de control",الرجاء إدخال رمز التفويض الخاص بك للوصول إلى لوحة التحكم,Veuillez saisir votre code d'autorisation pour accéder au tableau de bord
Two Factor Authorization,Two Factor Authorization,Autorización de dos factores,التوثيق ذو العاملين,Autorisation à deux facteurs
Back to Login,Back to Login,Volver a iniciar sesión,العودة إلى تسجيل الدخول,Retour à la page de connexion
Authorize,Authorize,Autorizar,التفويض,Autoriser
KYC Verification,KYC Verification,Verificación KYC (Conozca a su cliente),التحقق من الهوية (KYC),Vérification KYC
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,"Por favor, envíe su información KYC con datos válidos.",الرجاء تقديم معلومات التحقق من الهوية الخاصة بك مع البيانات الصحيحة.,Veuillez soumettre vos informations KYC avec des données valides.
Account Authorization,Account Authorization,Autorización de cuenta,تفويض الحساب,Autorisation de compte
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,"Necesita verificar su cuenta. Por favor, revise su bandeja de entrada de correo electrónico para obtener el código de autorización.",تحتاج إلى التحقق من حسابك. الرجاء التحقق من صندوق البريد الوارد الخاص بك للحصول على رمز التفويض,Besoin de vérifier votre compte. Veuillez vérifier votre boîte de réception pour obtenir le code d'autorisation.
Verify,Verify,Verificar,تحقق,Vérifier
Submit,Submit,Enviar,تقديم,Soumettre
Send Money,Send Money,Enviar dinero,إرسال المال,Envoyer de l'argent
Receive Money,Receive Money,Recibir dinero,استلام المال,Recevoir de l'argent
Remittance,Remittance,Transferencia,تحويل الأموال,Transfert d'argent
Make Payment,Make Payment,Realizar pago,إجراء الدفع,Effectuer un paiement
Mobile ToUp,Mobile ToUp,Recarga de móviles,شحن الهاتف المحمول,Recharge mobile
Transaction,Transaction,Transacción,المعاملة,Transaction
Seved Recipient,Seved Recipient,Destinatario guardado,المستفيد المحفوظ,Bénéficiaire enregistré
2FA Security,2FA Security,Seguridad de autenticación de dos factores (2FA),أمان ذو العاملين بعاملين,Sécurité à double facteur (2FA)
Get Support,Get Support,Obtener soporte,الحصول على الدعم,Obtenir du support
Notification,Notification,Notificación,إشعار,Notification
Cancel,Cancel,Cancelar,إلغاء,Annuler
Optional,Optional,Opcional,اختياري,Facultatif
Add Money Preview,Add Money Preview,Vista previa de añadir dinero,معاينة إضافة الرصيد,Aperçu de l'ajout d'argent
Entered Amount,Entered Amount,Cantidad ingresada,المبلغ المُدخل,Montant saisi
Total Fees & Charges,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والمصاريف,Frais et charges totaux
Will Get,Will Get,Obtendrá,سيتم الحصول على,Recevrez
Total Payable Amount,Total Payable Amount,Cantidad total a pagar,إجمالي المبلغ المستحق,Montant total à payer
Available Balance,Available Balance,Saldo disponible,الرصيد المتاح,Solde disponible
Bill Pay Form,Bill Pay Form,Formulario de pago de facturas,نموذج دفع الفواتير,Formulaire de paiement de factures
Bill Pay,Bill Pay,Pagar factura,دفع الفواتير,Paiement de facture
Bill Number,Bill Number,Número de factura,رقم الفاتورة,Numéro de facture
Amount,Amount,Cantidad,المبلغ,Montant
Total Charge,Total Charge,Cargo total,إجمالي الرسوم,Charge totale
Total Payable,Total Payable,Total a pagar,المبلغ المستحق بالكامل,Montant total à payer
View More,View More,Ver más,عرض المزيد,Voir plus
Mobile Number,Mobile Number,Número de móvil,رقم الجوال,Numéro de mobile
Confirm Payment,Confirm Payment,Confirmar pago,تأكيد الدفع,Confirmer le paiement
Total Fees,Total Fees,Tarifas totales,إجمالي الرسوم,Frais totaux
Recipient Received,Recipient Received,Recibido por el destinatario,المستلم من الطرف الثاني,Bénéficiaire reçu
Make Payment Log,Make Payment Log,Registro de pago,سجل دفع الفواتير,Journal des paiements effectués
Bill Pay Log,Bill Pay Log,Registro de pago de facturas,سجل دفع الفواتير,Journal de paiement de factures
Recharge,Recharge,Recarga,شحن,Recharge
Recharge Now,Recharge Now,Recargar ahora,شحن الآن,Recharger maintenant
TopUp Type,TopUp Type,Tipo de recarga,نوع الشحن,Type de recharge
Preview,Preview,Vista previa,معاينة,Aperçu
Mobile Topup Log,Mobile Topup Log,Registro de recarga de móviles,سجل شحن الجوال,Journal de recharge mobile
Money Out,Money Out,Salida de dinero,سحب الأموال,Retrait d'argent
Conversion Amount,Conversion Amount,Cantidad de conversión,المبلغ المحول,Montant de conversion
Money Out Information,Money Out Information,Información de salida de dinero,معلومات سحب الأموال,Informations de retrait d'argent
Exchange Rate,Exchange Rate,Tasa de cambio,سعر الصرف,Taux de change
Profile Settings,Profile Settings,Configuración de perfil,إعدادات الملف الشخصي,Paramètres de profil
Change Password,Change Password,Cambiar contraseña,تغيير كلمة المرور,Changer le mot de passe
Change,Change,Cambiar,تغيير,Changer
Add Receipient,Add Receipient,Agregar destinatario,إضافة مستفيد,Ajouter un bénéficiaire
Transaction Type,Transaction Type,Tipo de transacción,نوع العملية المالية,Type de transaction
No Receipient Found!,No Receipient Found!,¡No se encontró destinatario!,لم يتم العثور على مستفيد,Aucun bénéficiaire trouvé
Money Receive,Money Receive,Recibir dinero,استلام الأموال,Réception d'argent
Share Qr Code,Share Qr Code,Compartir código QR,مشاركة رمز الاستجابة السريعة (QR),Partager le code QR
Share,Share,Compartir,مشاركة,Partager
Form,Form,Formulario,استمارة,Formulaire
Add,Add,Agregar,إضافة,Ajouter
Send Now,Send Now,Enviar ahora,إرسال الآن,Envoyer maintenant
Receiving Country,Receiving Country,País de recepción,البلد المستلم,Pays de réception
Receipient,Receipient,Destinatario,المُستفيد,Bénéficiaire
Transfer Fee,Transfer Fee:,Tarifa de transferencia,رسوم التحويل,Frais de transfert
Receipient Get,Receipient Get,Recibido por el destinatario,المُستفيد يحصل على,Bénéficiaire reçu
Remittance Log,Remittance Log,Registro de transferencia de dinero,سجل التحويل,Journal de transfert
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores (2FA),المصادق عليه بعاملين,Authentification à deux facteurs
Disable,Disable,Desactivar,تعطيل,Désactiver
Enable,Enable,Habilitar,تمكين,Activer
Confirm Send,Confirm Send,Confirmar envío,تأكيد الإرسال,Confirmer l'envoi
Send Money Preview,Send Money Preview,Vista previa de envío de dinero,معاينة إرسال الأموال,Aperçu de l'envoi d'argent
Send Money Log,Send Money Log,Registro de envío de dinero,سجل إرسال الأموال,Journal de l'envoi d'argent
Add New Ticket,Add New Ticket,Agregar nuevo ticket,إضافة تذكرة جديدة,Ajouter un nouveau ticket
Add New,Add New,Agregar nuevo,إضافة جديد,Ajouter un nouveau
Ticket ID,Ticket ID,ID de ticket,معرف التذكرة,ID du ticket
Full Name,Full Name,Nombre completo,الاسم الكامل,Nom complet
Email,Email,Correo electrónico,البريد الإلكتروني,Email
Subject,Subject,Asunto,الموضوع,Sujet
Status,Status,Estado,الحالة,Statut
Last Replied,Last Replied,Última respuesta,آخر رد,Dernière réponse
Details,Details,Detalles,تفاصيل,Détails
Add Balance via,Add Balance via,Agregar saldo a través de,إضافة رصيد عبر,Ajouter de l'équilibre via
Virtual Card,Virtual Card,Tarjeta virtual,بطاقة افتراضية,Carte virtuelle
Exchange Money,Exchange Money,Cambio de dinero,تبادل الأموال,Échanger de l'argent
Balance Update From Admin,Balance Update From Admin,Actualización de saldo desde el administrador,تحديث الرصيد من قبل المشرف,Mise à jour de solde par l'administrateur
Current Balance,Current Balance,Saldo actual,الرصيد الحالي,Solde actuel
Card Type,Card Type,Tipo de tarjeta,نوع البطاقة,Type de carte
Total Bill Pay,Total Bill Pay,Total de pago de facturas,إجمالي دفع الفواتير,Total des paiements de factures
Total Mobile TopUp,Total Mobile TopUp,Total de recargas de móviles,إجمالي شحن الهاتف المحمول,Total de recharges mobiles
Total Buy Gift Card,Total Buy Gift Card,Total de compra de tarjetas de regalo,إجمالي شراء بطاقات الهدايا,Total d'achat de cartes-cadeaux
Total Transaction,Total Transaction,Total de transacciones,إجمالي العمليات,Total des transactions
Latest Transactions,Latest Transactions,Últimas transacciones,أحدث العمليات,Dernières transactions
Log in and Stay Connected,Log in and Stay Connected,Inicie sesión y manténgase conectado,تسجيل الدخول والبقاء على اتصال,Connexion et restez connecté
Register for an Account Today,Register for an Account Today,Regístrese para obtener una cuenta hoy,سجل اليوم للحصول على حساب جديد,Inscrivez-vous aujourd'hui
Reset Your Forgotten Password,Reset Your Forgotten Password,Restablecer su contraseña olvidada,إعادة تعيين كلمة المرور المنسية,Réinitialisez votre mot de passe oublié
Developer,Developer,Desarrolladora,مطور,Développeuse
app Name,QRPAY,QRPAY,كيو آر بي باي,QRPAY
please Fill Out The Field,Please Fill Out The Field,Por favor complete el campo,يُرجى ملء الحقل,Veuillez remplir le champ
sign In,Sign In,Iniciar sesión,تسجيل الدخول,Se connecter
rich Signin,Sign In,Iniciar sesión,تسجيل الدخول,Connexion
sign Up,Sign Up,Registrarse,تسجيل حساب جديد,S'inscrire
rich Sign Up,Sign Up,Registrarse,تسجيل حساب جديد,Inscription
welcome Back,Welcome Back,Bienvenido de nuevo,مرحبًا مرة أخرى,Bienvenue de retour
country,Country,País,البلد,Pays
billing Information,Billing Information,Información de facturación,معلومات الفوترة,Informations de facturation
top Up Information,Top UP Information,Información de recarga,معلومات الشحن,Informations de recharge
use Secure Instant MOney,Use Secure & Instant Money Transfer App Now,Usa la aplicación de transferencia de dinero segura e instantánea ahora,استخدم تطبيق النقل الآمن والفوري للأموال الآن,Utilisez l'application de transfert d'argent sécurisé et instantané dès maintenant
user Name Or Email Address,Username Or Email Address,Nombre de usuario o dirección de correo electrónico,اسم المستخدم أو عنوان البريد الإلكتروني,Nom d'utilisateur ou adresse e-mail
password,Password,Contraseña,كلمة المرور,Mot de passe
get Started,Get Started,Empezar,البدء,Commencer
use App For Instant,Use QRPAY app for instant money transfer. Scan or Place this QRcode for receiving money in your wallet. Share this QR for instant money receiving.,Usa la aplicación QRPAY para transferencias de dinero instantáneas. Escanea o coloca este código QR para recibir dinero en tu billetera. Comparte este QR para recibir dinero instantáneo.,استخدم تطبيق QRPAY لنقل الأموال الفوري. قم بمسح أو وضع رمز الاستجابة السريعة هذا لاستقبال الأموال في محفظتك. قم بمشاركة هذا الرمز لاستقبال الأموال الفوري.,Utilisez l'application QRPAY pour un transfert d'argent instantané. Scannez ou placez ce code QR pour recevoir de l'argent dans votre portefeuille. Partagez ce code QR pour recevoir de l'argent instantanément.
email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني,Adresse e-mail
enter The OTPCode Send To,We sent a 6-digit code to your email,Enviamos un código de 6 dígitos a tu correo electrónico,لقد أرسلنا رمزًا مكوَّنًا من 6 أرقام إلى بريدك الإلكتروني,Nous avons envoyé un code à 6 chiffres à votre adresse e-mail
enter The Google Auth OTPCode,Enter OTP Code From Google Authenticator,Ingresa el código OTP de Google Authenticator,أدخل رمز OTP من Google Authenticator,Entrez le code OTP de Google Authenticator
verified Code,Verified Code,Código verificado,الرمز المُتحقق,Code vérifié
at Andt,AT&T,AT&T,AT&T,AT&T
phone Number,Phone Number,Número de teléfono,رقم الهاتف,Numéro de téléphone
o TPVerification,Otp Verification,Verificación OTP,التحقق من مكتب المدعي العام,Vérification OTP
email Verification,Email Verification,Verificación por correo electrónico,التحقق عبر البريد الإلكتروني,Vérification par e-mail
resend,Resend,Reenviar,إعادة الإرسال,Renvoyer
xxx,xxx xxxx xxx,xxx xxxx xxx,xxx xxxx xxx,xxx xxxx xxx
pay And Go,QRPAY-PAY AND GO,QRPAY-PAGAR Y GO,QRPAY-دفع وانطلق,QRPAY-PAY ET PARTIR
the Codeis Not Valid,The code is not valid,El código no es válido,الكود غير صالح,Le code n'est pas valide
number,1684,1684,1684,1684
number Plus1684,+1684 632 5468 783,+1684 632 5468 783,+1684 632 5468 783,+1684 632 5468 783
skip,Skip,Saltar,تخطى,Passer
next,Next,Siguiente,التالي,Suivant
enter Password,Enter password,Ingrese la contraseña,أدخل كلمة المرور,Entrez le mot de passe
app Not Available,App Not Available,Aplicación no disponible,التطبيق غير متاح,L'application n'est pas disponible
permission Denied,Permission Denied,Permiso denegado,تم رفض الإذن,Permission refusée
app Not Available Sub Title,QRPAY is suddenly not available in the current region/country.,QRPAY no está disponible en la región/país actualmente.,QRPAY غير متاحة في الوقت الحالي في الإقليم/البلد الحالي.,QRPAY n'est soudainement pas disponible dans la région/pays actuel.
please Enter Your Register,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps.,Toma el control de tu cuenta restableciendo tu contraseña. Nuestra página de recuperación de contraseñas te guiará a través de los pasos necesarios.,تولي السيطرة على حسابك من خلال إعادة تعيين كلمة المرور الخاصة بك. صفحة استرداد كلمة المرور الخاصة بنا سترشدك خلال الخطوات اللازمة.,Prenez le contrôle de votre compte en réinitialisant votre mot de passe. Notre page de récupération de mot de passe vous guide à travers les étapes nécessaires.
continues,continues,Continúa,استمر,continue
continuee,Continue,Continuar,متابعة,Continuer
usd100,100.00 USD,100.00 USD,100.00 دولار أمريكي,"100,00 USD"
total Price,Total Price,Precio total,السعر الإجمالي,Prix total
drop Your File,Drop your file,Suelta tu archivo,أفلت ملفك,Déposez votre fichier
have Account,Have An Account?,¿Tener una cuenta?,هل لديك حساب؟,Avoir un compte?
sign In Information,Log in and Stay Connected,Inicia sesión y mantente conectado,قم بتسجيل الدخول وابق متصلاً,Connectez-vous et restez connecté
sign Up Information,Register an Account Today,Registra una cuenta hoy,سجل حسابًا اليوم,Inscrivez-vous aujourd'hui
agree,Please agree with term and condition,"Por favor, acepta los términos y condiciones",يرجى الموافقة على الشروط والأحكام,Veuillez accepter les termes et conditions
sign In Information Subtitle,"Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your finances, anytime and anywhere.",Nuestro proceso de inicio de sesión seguro garantiza la confidencialidad de tu información. Inicia sesión hoy y mantente conectado a tus finanzas en cualquier momento y lugar.,عملية تسجيل الدخول الآمنة لدينا تضمن سرية معلوماتك. قم بتسجيل الدخول اليوم وابق متصلًا بأموالك في أي وقت وأي مكان.,"Notre processus de connexion sécurisée garantit la confidentialité de vos informations. Connectez-vous dès aujourd'hui et restez connecté à vos finances, à tout moment et en tout lieu."
sign Up Details,Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs.,Forma parte de nuestra comunidad registrándote para obtener una cuenta hoy. Disfruta de una variedad de beneficios y funciones diseñados para satisfacer tus necesidades.,كن جزءًا من مجتمعنا من خلال التسجيل للحصول على حساب اليوم. استمتع بمجموعة متنوعة من المزايا والميزات المصممة لتلبية احتياجاتك.,Faites partie de notre communauté en vous inscrivant dès aujourd'hui. Profitez d'une gamme d'avantages et de fonctionnalités adaptés à vos besoins.
verification Code,Verification Code,Código de verificación,رمز التحقق,Code de vérification
enter Your Verification Code,"Enter the verification code which one we send you in your email, to verified your account.",Ingresa el código de verificación que te enviamos a tu correo electrónico para verificar tu cuenta.,أدخل رمز التحقق الذي أرسلناه إليك في بريدك الإلكتروني للتحقق من حسابك.,Entrez le code de vérification que nous vous avons envoyé par e-mail pour vérifier votre compte.
resend Code,Resend Code,Reenviar código,إعادة إرسال الرمز,Renvoyer le code
k YCForm,KYC Form,Formulario KYC,نموذج KYC,Formulaire KYC
k YCForm Details,Please input all the field for sign in to your account to get access to your dashboard.,"Por favor, ingresa todos los campos para iniciar sesión en tu cuenta y acceder a tu panel de control.",الرجاء إدخال جميع الحقول لتسجيل الدخول إلى حسابك والوصول إلى لوحة المعلومات الخاصة بك.,Veuillez saisir tous les champs pour vous connecter à votre compte et accéder à votre tableau de bord.
first Name,First Name,Nombre,الاسم الأول,Prénom
last Name,Last Name,Apellido,اسم العائلة,Nom de famille
enter First Name,Enter First Name,Ingresar nombre,أدخل الاسم الأول,Entrez le prénom
enter Last Name,Enter Last Name,Ingresar apellido,أدخل اسم العائلة,Entrez le nom de famille
enter Email Address,Enter Email Address,Ingresar dirección de correo electrónico,أدخل عنوان البريد الإلكتروني,Entrez l'adresse e-mail
select Country,Select Country,Seleccionar país,حدد البلد,Sélectionnez le pays
select City,Select City,Seleccionar ciudad,حدد المدينة,Sélectionnez la ville
enter City,Enter City,Ingresar ciudad,أدخل اسم المدينة,Entrez la ville
zip Code,Zip Code,Código postal,الرمز البريدي,Code postal
enter Zip Code,Enter Zip Code,Code postal,الرمز البريدي,Code postal
front Part,Front Part,Entrez le code postal,أدخل الرمز البريدي,Entrez le code postal
back Part,Back Part,Partie avant,الجزء الأمامي,Partie avant
upload Passport,Upload Passport / NID / Driving Lic. etc doc for verification,Partie arrière,الجزء الخلفي,Partie arrière
